station,name,alt,lon_winkelmin,lat_winkelmin,lon,lat
11157,Aigen im Ennstal,640,140818,473158,14.14,47.53
11244,Bad Gleichenberg,280,155413,465220,15.9,46.87
11101,Bregenz,424,94446,472957,9.75,47.5
11190,Eisenstadt,184,163218,475115,16.54,47.85
11155,Feuerkogel,1618,134304,474900,13.72,47.82
11240,Graz/Flughafen,340,152624,465850,15.44,46.98
11121,Innsbruck,579,112303,471536,11.38,47.26
11331,Klagenfurt/Flughafen,447,141906,463854,14.32,46.65
11012,Kremsmünster,383,140752,480318,14.13,48.05
11130,Kufstein,495,120946,473431,12.16,47.58
11204,Lienz,659,124823,464932,12.81,46.83
11010,Linz/Hörsching,298,141117,481407,14.19,48.24
11171,Mariazell,866,151808,474721,15.3,47.79
11126,Patscherkofel,2247,112744,471232,11.46,47.21
11022,Retz,320,155630,484540,15.94,48.76
11150,Salzburg,430,130012,474740,13,47.79
11343,Sonnblick,3105,125727,470315,12.96,47.05
11389,St. Pölten,270,153752,481159,15.63,48.2
11265,Villacher Alpe,2140,134022,463613,13.67,46.6
11035,Wien/Hohe Warte,203,162123,481455,16.36,48.25
11036,Wien/Schwechat,183,163453,480703,16.58,48.12
